user_name,machine_name,logon_time,total_sec,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7
user_338,machine_5,02-11-2020 02:25,32.41,0.05,3.507,0.032,1.56,2.04,13.58,8.43
user_198,machine_2,02-12-2020 17:21,18.556,0.177,,0.031,1.633,0.567,2.953,7.07
user_291,machine_5,02-11-2020 23:18,23.364,0.03,,0.031,1.93,1.54,5.587,11.803
user_209,machine_14,2/21/2020 20:57,43.653,0.097,12.55,0.047,1.376,0.19,8.093,8.094
user_703,machine_2,02-12-2020 14:12,72.524,0.017,,0.047,2.02,2.4,8.777,15.223
user_147,machine_4,2/22/2020 2:45,21.051,0.03,,0.047,1.717,1.136,7.207,8.27
user_196,machine_21,02-07-2020 11:36,22.38,0.033,,0.047,1.45,0.713,2.45,5.59
user_413,machine_18,02-03-2020 22:45,44.725,0.03,,0.031,1.6,0.32,12.273,4.633
user_392,machine_5,2/25/2020 2:58,28.097,0.033,,0.046,1.83,0.217,3.797,14.807
user_397,machine_6,02-10-2020 23:28,25.904,0.033,4.506,0.031,1.586,0.173,2.056,10.984
user_647,machine_25,03-02-2020 16:49,47.245,0.02,,0.14,1.647,1.077,18.8,9.543
user_412,machine_19,2/27/2020 17:09,28.867,0.034,13.78,0.141,1.643,0.44,2.69,5.25
user_472,machine_14,2/18/2020 10:28,25.42,0.03,,0.047,3.207,0.597,3.404,11.646
user_150,machine_6,02-07-2020 00:24,22.793,0.063,4.487,0.032,1.527,1.186,4.284,6.686
user_285,machine_17,2/17/2020 5:46,37.982,0.034,11.963,0.031,1.683,0.986,8.31,7.097
user_468,machine_5,02-12-2020 20:53,32.438,0.017,9.027,0.031,1.59,1.983,6.87,9.533
user_484,machine_5,2/28/2020 7:24,16.342,0.053,,0.062,1.603,0.234,1.083,5.897
user_667,machine_1,02-10-2020 18:28,74.343,0.063,32.884,0.047,1.876,1.414,2.097,7
user_651,machine_5,02-06-2020 02:34,31.651,0.033,3.76,0.015,1.536,0.17,10.843,10.504
user_612,machine_24,2/24/2020 21:20,24.036,0.03,,0.031,1.794,0.22,5.95,9.21
user_425,machine_5,2/19/2020 21:12,23.723,0.06,,0.047,1.69,0.206,4.847,12.42
user_340,machine_14,02-06-2020 03:32,37.93,0.056,,0.172,1.923,0.793,8.116,14.957
user_609,machine_17,2/19/2020 20:00,22.827,0.016,6.21,0.032,1.75,1.243,1.903,7.377
user_46,machine_6,02-06-2020 22:03,65.777,0.033,5.45,0.047,1.693,0.2,13.637,10.42
user_518,machine_17,2/24/2020 11:42,23.291,0.033,,0.031,1.696,0.81,5.44,7.654
user_656,machine_2,2/19/2020 2:16,20.96,0.02,,0.032,1.427,0.387,4.967,9.44
user_16,machine_4,2/26/2020 23:59,34.67,0.046,3.956,0.047,1.673,0.78,8.346,13.497
user_412,machine_22,2/21/2020 10:27,54.212,0.047,31.526,0.031,1.673,1.047,3.216,7.84
user_417,machine_6,02-08-2020 00:08,31.753,0.03,4.18,0.046,1.576,0.193,8.223,10.22
user_333,machine_5,2/23/2020 10:49,22.966,0.134,,0.032,1.503,0.793,10.49,7.223
user_395,machine_4,2/25/2020 22:59,21.994,0.03,,0.047,1.824,1.257,3.593,12.677
user_11,machine_0,02-07-2020 22:31,40.472,0.02,5.716,0.047,1.686,1.45,11.457,13.497
user_612,machine_21,2/26/2020 1:45,21.742,0.034,,0.062,1.76,0.68,6.183,5.823
user_241,machine_4,2/26/2020 20:20,33.845,0.033,2.473,0.047,1.976,0.917,6.976,13.214
user_417,machine_4,02-04-2020 01:15,23.157,0.033,,0.047,1.987,0.666,5.28,6.89
user_537,machine_5,2/19/2020 19:35,37.985,0.03,5.623,0.062,1.853,0.21,14.05,10.907
user_34,machine_21,2/21/2020 10:35,28.1,0.016,,0.032,1.764,0.93,5.747,8.117
user_17,machine_22,02-06-2020 11:46,18.057,0.06,,0.047,1.477,0.53,3.727,6.637
user_498,machine_14,02-05-2020 07:00,38.027,0.067,,0.047,1.726,0.266,2.773,7.493
user_374,machine_4,2/20/2020 2:14,22.477,0.06,,0.047,1.59,1.7,8.427,7.867
user_527,machine_2,2/16/2020 19:04,31.497,0.017,,0.032,1.674,1.22,6.007,9.263
user_622,machine_5,02-06-2020 19:28,37.725,0.073,6.264,0.047,1.646,0.71,19.08,6.93
user_647,machine_18,2/19/2020 17:51,37.722,0.03,,0.031,1.737,0.93,15.967,7.873
user_623,machine_14,03-02-2020 10:15,31.825,0.047,9.77,0.031,1.447,0.403,6.137,7.423
user_677,machine_5,02-11-2020 00:42,21.152,0.017,3.613,0.015,1.65,1.356,4.057,8.07
user_594,machine_1,2/17/2020 21:50,31.189,0.1,,0.047,1.813,0.27,4.39,11.46
user_38,machine_22,02-06-2020 15:32,17.313,0.03,,0.031,1.423,0.833,3.866,5.34
user_279,machine_14,2/27/2020 21:48,23.536,0.063,2.576,0.032,1.41,0.25,3.427,6.497
user_647,machine_22,03-02-2020 11:41,32.462,0.03,,0.125,1.717,0.773,17.347,7.44
user_323,machine_6,02-12-2020 20:06,35.919,0.034,2.133,0.046,1.68,0.197,12.233,11.033
user_206,machine_17,03-02-2020 12:06,17.344,0.056,,0.031,1.7,0.6,4.754,5.573
user_647,machine_22,2/18/2020 10:28,42.626,0.03,,0.031,1.66,0.766,18.016,9.1
user_352,machine_5,02-10-2020 22:28,24.102,0.034,,0.016,1.654,0.19,3.463,10.963
user_478,machine_5,2/22/2020 20:42,24.6,0.047,2.214,0.046,1.53,0.167,5.473,10.577
user_518,machine_23,02-03-2020 11:45,16.157,0.03,,0.031,1.397,0.59,3.943,4.993
user_379,machine_6,02-06-2020 17:42,17.841,0.053,,0.047,1.506,0.173,1.983,9.847
user_192,machine_0,2/27/2020 20:57,77.181,0.016,4.314,0.047,1.544,1.093,43.24,5.3
user_97,machine_19,2/13/2020 10:15,33.038,0.033,,0.031,1.733,0.474,6.526,12.27
user_24,machine_1,2/26/2020 21:32,36.071,0.017,12.017,0.031,1.637,0.363,6.163,10.083
user_468,machine_5,02-06-2020 23:47,33.908,0.063,6.816,0.031,1.58,0.177,4.814,10.673
user_122,machine_4,2/20/2020 22:08,20.663,0.03,,0.031,1.73,0.183,5.027,10.266
user_110,machine_18,2/26/2020 22:01,28.939,0.034,,0.046,1.75,1.017,3.986,7.714
user_668,machine_4,2/24/2020 17:30,57.895,0.031,9.117,0.031,1.586,0.183,31.123,11.063
user_540,machine_6,02-04-2020 22:32,20.878,0.057,8.03,0.047,1.504,0.813,2.637,5.627
user_270,machine_4,2/18/2020 18:21,27.828,0.033,5.064,0.047,1.603,0.36,11.216,5.154
user_393,machine_5,2/28/2020 21:09,36.07,0.03,2.816,0.047,1.967,0.21,16.607,10.796
user_181,machine_6,02-07-2020 17:35,32.851,0.03,4.663,0.062,1.63,0.16,10.113,11.283
user_638,machine_19,2/19/2020 10:53,44.102,0.02,,0.047,1.797,1.084,10.93,8.723
user_373,machine_6,2/14/2020 22:38,50.263,0.03,5.92,0.062,2.6,2.096,12.96,24.433
user_62,machine_4,2/27/2020 19:06,50.39,0.02,4.833,0.031,1.617,0.537,33.454,5.26
user_294,machine_5,2/28/2020 23:56,32.516,0.02,6.46,0.047,1.703,0.183,6.844,11.093
user_647,machine_23,2/19/2020 17:54,39.593,0.037,,0.031,1.633,1.283,15.12,8.153
user_443,machine_6,02-12-2020 20:00,54.193,0.017,7.137,0.047,1.684,0.184,27.277,10.887
user_201,machine_5,2/19/2020 0:10,27.389,0.03,7.16,0.063,1.743,0.756,6.023,6.784
user_515,machine_15,03-02-2020 04:31,26.828,0.073,,0.031,1.897,0.283,10.294,8.74
user_351,machine_5,02-06-2020 06:59,21.569,0.05,,0.032,1.77,0.174,5.373,10.09
user_177,machine_5,02-10-2020 07:43,24.145,0.02,6.48,0.015,1.54,0.59,3.29,7.13
user_149,machine_24,2/23/2020 22:02,28.687,0.046,4.993,0.047,1.773,0.77,5.87,7.364
user_463,machine_6,02-05-2020 09:17,19.73,0.034,,0.032,1.547,0.68,3.707,5.483
user_647,machine_23,2/20/2020 12:32,37.062,0.057,,0.032,1.65,1.517,15.63,8.06
user_206,machine_21,02-03-2020 15:33,17.06,0.017,,0.032,1.473,0.71,3.316,6.68
user_390,machine_9,03-02-2020 18:47,23.026,0.03,,0.031,1.523,0.167,7.88,9.48
user_369,machine_4,02-03-2020 15:38,75.34,0.017,8.3,0.047,2.003,0.927,50.814,9.216
user_62,machine_5,2/20/2020 18:20,68.573,0.03,2.967,0.14,1.56,0.193,25.273,9.87
user_365,machine_5,02-10-2020 06:37,15.893,0.057,,0.016,1.48,0.366,1.783,6.714
user_235,machine_21,2/22/2020 9:18,21.929,0.05,,0.031,1.723,0.216,5.26,10.124
user_588,machine_18,2/29/2020 11:04,39.288,0.02,8.053,0.032,1.704,0.63,3.353,8.703
user_699,machine_3,02-05-2020 16:12,17.907,0.02,,0.14,1.417,0.913,1.987,6.637
user_542,machine_1,02-11-2020 22:11,64.382,0.047,5.564,0.031,2.01,1.044,42.384,7.58
user_666,machine_1,2/28/2020 17:02,23.111,0.08,5.387,0.032,1.453,0.154,2.88,9.86
user_300,machine_5,2/22/2020 3:05,281.8,0.03,1.92,0.031,1.643,1.21,18.53,12.016
user_622,machine_7,02-06-2020 01:13,27.111,0.062,3.9,0.046,1.716,0.937,11.643,5.54
user_270,machine_4,02-06-2020 18:21,30.509,0.031,4.776,0.031,1.613,0.167,9.517,9.907
user_255,machine_24,2/29/2020 12:24,32.698,0.03,5.606,0.032,1.7,0.376,9.316,11.864
user_93,machine_5,02-07-2020 01:53,35.327,0.046,,0.047,1.626,0.806,15.666,6.68
user_381,machine_0,02-07-2020 05:56,83.729,0.03,,0.125,2.337,1.974,10.327,18.156
user_311,machine_16,02-05-2020 18:26,34.9,0.057,,0.031,1.693,0.364,9.773,13.43
user_562,machine_22,2/24/2020 5:27,28.528,0.046,,0.031,1.883,0.883,13.067,6.476
user_542,machine_2,2/28/2020 1:30,64.306,0.076,4.276,0.141,2.237,1.65,39.623,8.127
user_323,machine_6,2/13/2020 3:09,42.217,0.017,,0.047,1.62,0.18,9.376,11.654
user_603,machine_21,2/26/2020 12:22,25.099,0.033,,0.141,1.756,0.223,1.86,10.367
user_359,machine_19,2/21/2020 23:49,30.66,0.03,,0.046,1.694,0.24,9.537,9.943
user_114,machine_5,2/25/2020 19:47,70.453,0.03,10.787,0.031,1.716,1.846,37.967,12.253
user_659,machine_5,2/21/2020 3:46,69.439,0.03,8.976,0.062,1.883,0.217,36.687,11.13
user_360,machine_1,2/23/2020 23:47,15.052,0.03,,0.047,1.483,0.52,4.56,4.727
user_62,machine_5,2/19/2020 16:30,56.008,0.047,10.56,0.046,1.654,0.166,25.56,11.556
user_665,machine_2,2/28/2020 23:19,28.099,0.06,4.723,0.141,1.897,1.757,6.987,9.967
user_417,machine_4,02-11-2020 19:23,19.049,0.093,6.79,0.063,,0.23,0.237,3.566
user_648,machine_6,02-03-2020 21:13,41.585,0.113,,0.047,1.513,0.2,29.85,4.73
user_331,machine_5,2/28/2020 20:11,35.52,0.047,6.434,0.063,1.747,0.177,12.523,10.383
user_377,machine_6,2/28/2020 20:05,28.713,0.03,9.646,0.266,1.537,0.766,5.45,6.053
user_127,machine_4,2/27/2020 20:11,62.365,0.017,5.944,0.14,1.6,0.557,44.127,5.57
user_455,machine_1,02-03-2020 17:53,18.238,0.067,3.333,0.032,2.157,0.65,3.217,6.04
user_298,machine_5,2/21/2020 14:19,21.722,0.02,,0.047,1.587,1,7.077,6.643
user_390,machine_7,2/28/2020 19:40,30.235,0.03,,0.047,1.513,0.737,17.387,5.75
user_252,machine_8,02-07-2020 20:26,34.801,0.056,3.373,0.031,1.613,0.86,19.406,6.48
user_508,machine_23,02-05-2020 09:56,46.261,0.053,,0.031,1.426,0.767,2.693,7.134
user_427,machine_14,02-08-2020 03:04,21.759,0.06,2.994,0.046,1.617,0.207,3.27,10.864
user_653,machine_2,2/19/2020 16:22,14.782,0.06,,0.031,1.504,0.87,3.58,5.323
user_478,machine_6,02-11-2020 22:34,28.147,0.017,2.534,0.078,1.63,1.5,9.153,9.057
user_36,machine_18,02-04-2020 20:23,19.495,0.02,4.197,0.047,1.483,0.493,3.123,3.937
user_634,machine_4,2/27/2020 8:58,31.57,0.033,,0.032,1.583,0.207,4.707,13.17
user_647,machine_23,2/25/2020 13:41,34.257,0.016,,0.016,1.763,0.25,15.7,10.18
user_468,machine_5,2/19/2020 1:47,31.09,0.033,5.76,0.047,1.82,1.88,4.763,7.487
user_67,machine_1,2/28/2020 15:23,22.617,0.02,,0.031,1.59,0.924,7.06,7.114
user_578,machine_23,2/17/2020 14:08,68.898,0.06,21.887,0.046,1.657,0.863,6.387,6.39
user_301,machine_4,2/14/2020 19:56,32.019,0.03,,0.047,2.124,0.27,11.517,11.423
user_664,machine_1,2/17/2020 11:39,54.331,0.03,,0.047,1.743,1.703,13.787,9.91
user_462,machine_17,2/15/2020 11:41,49.268,0.03,,0.031,1.697,0.793,2.406,8.4
user_574,machine_4,2/27/2020 19:39,47.685,0.033,,0.063,2.653,3.663,6.71,16.667
user_165,machine_22,2/13/2020 10:49,47.882,0.17,,0.031,1.714,1,30.647,6.626
user_62,machine_5,2/29/2020 18:38,60.428,0.087,4.714,0.047,1.526,0.174,38.537,9.897
user_576,machine_8,02-05-2020 22:56,24.169,0.046,2.64,0.047,1.503,1.12,9.354,6.553
user_576,machine_5,02-11-2020 20:54,41.534,0.046,2.63,0.032,1.76,2.28,21.674,10.486
user_522,machine_19,2/15/2020 12:01,39.073,0.03,6.333,0.031,1.72,0.217,14.38,10.73
